Step,Value
405,0.744243323802948
420,0.7434662181138992
435,0.7423550007760525
450,0.7413694903095366
465,0.7412026562682195
480,0.7401794608441481
495,0.7413564548738215
510,0.7401710428385874
525,0.7399366467012019
540,0.7416272210205516
555,0.7414572189900945
570,0.7404672109233473
585,0.740167520951794
600,0.7415131873751191
615,0.7409812517360709
630,0.7402489964487059
645,0.7416048535186731
660,0.7402187702649728
675,0.7409923418778138
690,0.7404516332322139
705,0.7395709561351974
720,0.7390374911798635
735,0.7374481776598953
750,0.7355859829039797
765,0.7335212238153725
780,0.7298024623042048
795,0.7293186886272076
810,0.7284806454310447
825,0.7288559299000437
840,0.7264989689067455
855,0.7254331185742913
870,0.7249686320206971
885,0.7237820958679553
900,0.7197097470591247
915,0.7168708634304486
930,0.7148291347432342
945,0.7149577730127299
960,0.7120056178466323
975,0.7081140454642857
990,0.7060991502078927
1005,0.705977544835193
1020,0.706289192035271
1035,0.7039523303454405
1050,0.7003791974133088
1065,0.6983593348348514
1080,0.694883218531562
1095,0.695455917928125
1110,0.694621586324146
1125,0.6945513205589422
1140,0.6952956272853367
1155,0.6927748056407792
1170,0.692709866050329
1185,0.6946844320045031
1200,0.6933338707626518
1215,0.6903575634242346
1230,0.6882246830591
1245,0.6887014986617518
1260,0.6846460774270416
1275,0.6832695951045
1290,0.6811916343848546
1305,0.6800318637843761
1320,0.6806356388889029
1335,0.6776111128704401
1350,0.6778264221299575
1365,0.6787300408861435
1380,0.6766032756340089
1395,0.6747948645712799
1410,0.6734555039773631
1425,0.6737398571998423
1440,0.6747995615560055
1455,0.6727797812772451
1470,0.669865636158698
1485,0.6690521737410884
1500,0.6661790502537804
1515,0.6657391931161109
1530,0.6656472051232432
1545,0.661608168527333
1560,0.6615358000540729
1575,0.6591924815861936
1590,0.6595559634361337
1605,0.6585056271570656
1620,0.6576447255962646
1635,0.655843663600884
1650,0.6533762963651857
1665,0.6522495544472187
1680,0.6523031237278045
1695,0.6503716415294135
1710,0.6503009113735798
1725,0.651228202376383
1740,0.6515610518690758
1755,0.6484028607219899
1770,0.6495838833366177
1785,0.6496391814737715
1800,0.6461483938069449
1815,0.6457539164568576
1830,0.6437215852648156
1845,0.643489985409482
1860,0.6402192538536317
1875,0.638735453615701
1890,0.6386497536567993
1905,0.6375803629632261
1920,0.6349642862155747
1935,0.6334040583552881
1950,0.6307929667997504
1965,0.6284364704327249
1980,0.6255376975333788
1995,0.6270419238199927
2010,0.6258120518334941
2025,0.6271361720158809
2040,0.627326163597724
2055,0.6273536559128193
2070,0.6281591794313583
2085,0.6305255510417003
2100,0.6303568798132047
2115,0.6291126808175476
2130,0.6275886580986322
2145,0.6275603932923193
2160,0.6270386987088377
2175,0.6264972252673578
2190,0.6223923375602965
2205,0.6213496313782971
2220,0.6201033686031417
2235,0.618650623310131
2250,0.6168441870481143
2265,0.6164366288665598
2280,0.6154017435358792
2295,0.6159318255363266
2310,0.6165195098825869
2325,0.6130545494353266
2340,0.6121814697803593
2355,0.6097801960829219
2370,0.6093933064689326
2385,0.60957534851239
2400,0.6089783261635882
2415,0.6074056683892799
