0.08995,0.08875,0.12137
0.83173,0.76861,0.62853
0.49076,0.35147,0.10705
0.29856,0.15862,0.10276
0.46396,0.18372,0.25535
0.18100,0.40654,0.66029
0.40971,0.49595,0.20567
0.70694,0.34560,0.44574
0.64770,0.64315,0.20673
0.57255,0.68879,0.79100
0.24141,0.29752,0.13931
0.66595,0.62407,0.52753
0.54334,0.55550,0.55978
0.41303,0.38931,0.35019
0.95290,0.96228,0.95719
0.17093,0.17843,0.18263
0.39774,0.43697,0.45577
0.47594,0.50731,0.52388
0.05586,0.07451,0.91924
0.75008,0.77458,0.78882
0.14428,0.14808,0.09167
0.84486,0.87113,0.87905
0.31554,0.32205,0.26799
0.68576,0.69507,0.68445
0.49245,0.48423,0.43363
0.31959,0.34620,0.37287
0.04652,0.04375,0.06098
0.23363,0.24784,0.26473
0.59613,0.62192,0.62902
0.08903,0.08227,0.45837
